,Device Name,Markets,link
0,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/6da67b71-fa00-4e82-a243-525a271d36ed
1,Blueprint Genetics Sanger Platform,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/8491390b-122b-4845-a509-e210fd9b8a4e
2,Blueprint Genetics dPCR Platform,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/9d1fe77d-d253-400a-bcd5-408b32b4682a
3,Blueprint Genetics CES Platform – Variant Seq + mtDNA Variant Seq,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/0dbcc4a4-672d-4cbe-b610-2659e3e6b5ff
4,Blueprint Genetics CES Platform – Single gene and panel + mtDNA Seq,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/dbb0a90f-053f-4868-927e-d136b4dbc292
5,Blueprint Genetics CES Platform – mtDNA Variant Seq,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/39220e1d-a291-4866-9947-d90ba7df4c37
6,Blueprint Genetics CES Platform – mtDNA Seq,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/94ca34c6-e62a-4643-8c0d-98b1c9ff7c15
7,Blueprint Genetics CES Platform – Variant Seq,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/e208cdc5-caed-4ff2-811f-f4b0d3bf97d3
8,Blueprint Genetics CES Platform – Single gene and panel Seq,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/d91c8f41-afd0-41bb-bc68-660feb4ff1bd
9,Blueprint Genetics WES Platform – Variant Seq + mtDNA Variant Seq,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/8b809b71-4bde-4f2f-8cc4-452d89df3be8
10,Blueprint Genetics WES Platform – Variant Seq,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/236f67f7-3760-426c-8fba-4427a0511dec
11,Blueprint Genetics WES Platform – Proband Seq,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/2c121fbf-16cc-4423-a847-bc2717678d84
12,Blueprint Genetics WES Platform – Family Seq + mtDNA Seq,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/07cef241-14ee-49fd-beb1-6030d9c6b253
13,Blueprint Genetics WES Platform – Proband + mtDNA Seq,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/ac8bcebc-4c8b-4e88-bfed-4e3deb5b63f2
14,Blueprint Genetics WES Platform – Other Family Seq,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/565a3370-91ec-4abe-a5a0-2dae14bff999
15,Blueprint Genetics WES Platform – Family Seq,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/ddb1a515-8101-43d0-82d4-609fcdf064e9
16,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/752bc7ab-5769-49eb-a81a-b68ff8916fb1
17,Prostate Specific Antigen Assay Kit,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/d2c5772f-8da0-457e-bcbd-43c9a6a20c70
18,Clever Check TD-4116 Sistem pentru monitorizarea glucozei în sânge,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/2467b905-bebb-46cc-af28-57888a2e4b12
19,Free Prostate Specific Antigen Assay kit,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/9a7cb1b0-c4d2-4ef4-a0c8-a1f672729656
20,Clever Check TD-4116 Glucometru,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/0e25d15f-8347-4f20-9cc8-c7a6c82be732
21,Clever Check  TD-4227  i TD-4116 Strip teste pentru masurarea nivelului de glicemie în sânge  50 Strip teste ,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/efcf4f78-cc33-4769-be88-c01cfd1d237b
22,Clever Check  TD-4227  i TD-4116 Strip teste pentru masurarea nivelului de glicemie în sânge  25 Strip teste ,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/95ae4e99-5d1b-448a-8306-6b267f19c45c
23,EntericBio® Viral Panel 3,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/227e187c-d7bc-432b-a9f7-65586cfccaae
24,EntericBio® Viral Panel 2,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/91fd8997-5a23-4c28-9362-25773c418583
25,EntericBio® Viral Panel 1,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/2c1f1102-bfc0-4618-bfb3-a01dc416cdd3
26,EntericBio® Dx plate,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/53fd6a6a-d2d2-457c-8b5c-45597a22afd9
27,EntericBio® Dx,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/06e5b5a7-b698-4c4c-9e35-0973c01f489d
28,RespiBio® Panel 2,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/1f66b601-a413-4df4-9b81-83872ab303f3
29,RespiBio® Panel 1,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/88658f38-17f0-4239-b2ab-f3354a088dc4
30,EntericBio ® CPE,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/5ba9c0ff-8afb-4f8f-a0b4-b73d58ebb68b
31,EntericBio® Clostridioides difficile,Ireland. (From 2017-03-02 to None),https://ec.europa.eu/tools/eudamed/#/screen/search-device/52c45551-7e9e-4108-8a06-f34ea3b257f1
32,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/030d7e8f-64f0-4cd8-8d58-68503c7b1edf
33,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/4e89cfb3-9116-4e10-8338-688f6a41764c
34,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/3071895b-5b1b-4ba4-844f-cbc45080e2c6
35,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/0a306d85-0597-4fb5-926f-c2d05cd261e1
36,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/596996bf-1be2-4942-ab62-c40d535b00d0
37,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/1f5c52ff-37f1-4a9d-9e96-787a4e53336e
38,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/1867cdc4-0c30-4967-af86-b67b74c292bd
39,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/ddda1b68-4379-4318-9942-78e55d1d9f97
40,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/d1136516-4306-4b42-8d8c-e301ecd4d2e3
41,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/ad8b8bbb-f3f0-4ac2-9808-28310dd44d5f
42,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/b82d34c1-4813-41a9-a781-d83d1167675f
43,B-Trol Plus Control Abnormal Level,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/639a4cc1-8a66-492e-8291-2b72b0d70b9c
44,B-Trol Plus Control Normal Level,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/97cc8cdb-c210-443a-aa4a-f79783133066
45,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/6edad73c-0c28-4ef1-be0a-f38a9f71ffd7
46,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/98cf521b-7b9a-46f7-a855-9581050d068e
47,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/e132ed01-9fd5-41f5-a87c-78499d5b325f
48,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/c8df19a3-d060-41ce-8415-1ab4f97c3512
49,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/806b2eec-e4e9-4059-8f66-663be9ce3d6a
50,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/d14a72b7-7bc8-4775-8e43-21786ef069d1
51,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/36d4f40d-3253-4922-b772-03630d6f1e89
52,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/d4ff6d2a-ff45-4546-9bdc-11559103e24a
53,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/3473e249-3028-483e-a34f-566603102aa9
54,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/b1b48b39-8a3b-4059-8cdd-919ec99dbee6
55,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/200856f8-5c59-4b95-b8a3-fdb78531bdd3
56,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/e8de1485-291c-41d8-8ff1-77c490fdce0e
57,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/21f0aa09-e867-46e4-817a-134d8be52e6e
58,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/43674165-5f1c-4618-ad08-278e6cdaa2b8
59,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/cab3b971-e5dd-42fe-a699-4c752e25f5ac
60,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/bc752081-94a3-41f6-ba2d-ec1db246105d
61,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/4147c0ef-1f39-4ce0-932b-f137b14504e3
62,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/1bbb2b49-06ac-4730-8edf-8d2d585229d6
63,VACUSERA,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/d47cfbc5-f5f2-46ec-bb7a-b172b4b76871
64,VACUSERA,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/07219725-c28a-4114-bea4-8ae95d4147ed
65,VACUSERA,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/720e0017-1e2b-4ca6-b2d4-b6e9f922100d
66,VACUSERA,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/4cc8fbda-3ac1-4af4-b81e-4fa1735f961d
67,VACUSERA,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/926131b0-1a64-4aeb-b823-cddc67221ba6
68,VACUSERA,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/4249aa6b-b1e5-4687-a2bc-3aad9113beba
69,VACUSERA,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/027af2bc-1daf-4731-b772-d74e2c32ef17
70,VACUSERA,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/115fcae3-1934-4ab7-bb21-2cde828c2a24
71,VACUSERA,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/de6d9167-785f-4f75-9957-41fcfa882476
72,VACUSERA,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/781ae4aa-91fe-4e1e-a8ad-db45b8cf75e8
73,VACUSERA,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/cd7da217-012e-4cc5-8484-56704eed2f41
74,VACUSERA,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/69ae4e35-5d34-45fd-b3ea-2ac977be7cea
